variable,label,mean_auc_drop,sd_auc_drop
bio_10,T warmest quarter,0.15289485472312705,0.0033305892717408283
bio_18,Precip. warmest quarter,0.05069169315960913,0.001663237354471686
bio_3,Isothermality,0.042125532247556996,0.0014571781001850462
bio_19,Precip. coldest quarter,0.022033449511400672,0.002031665368309196
bio_8,T wettest quarter,0.019988538762215003,0.0009059894675841959
bio_2,Mean diurnal range,0.01846098827361564,0.0014702351479287592
bio_11,T coldest quarter,0.016376657980456066,0.0023061444159353994
soil_ph,Soil pH,0.0030358716612378213,0.000811147894632068
slope,Terrain slope,0.0020917433224756144,0.0001774105200500896
bio_15,Precip. seasonality,-0.0016795074918566576,0.0005726394056215127
