features,beta_multiplier,fold,auc
L,0.5,1,0.7215262100740143
L,0.5,2,0.6673788920842008
L,0.5,3,0.7308369374239763
L,0.5,4,0.6535837151135022
L,1.0,1,0.7214476594731087
L,1.0,2,0.6674258259844176
L,1.0,3,0.7308926882011083
L,1.0,4,0.6534837360697969
L,1.5,1,0.7214341439523397
L,1.5,2,0.6674815338778501
L,1.5,3,0.7308622786863092
L,1.5,4,0.6534141073424052
L,2.0,1,0.7214055071063538
L,2.0,2,0.6674841800027882
L,2.0,3,0.7309720908230841
L,2.0,4,0.6533778483453
L,3.0,1,0.7213854345507561
L,3.0,2,0.6675226184492566
L,3.0,3,0.7310785241248816
L,3.0,4,0.6533405221415318
L,5.0,1,0.7213788775159276
L,5.0,2,0.6675277714293991
L,5.0,3,0.7311427219894582
L,5.0,4,0.6532718825325106
LQ,0.5,1,0.6729363071047479
LQ,0.5,2,0.6895882364983912
LQ,0.5,3,0.7430488917421273
LQ,0.5,4,0.6602359786549297
LQ,1.0,1,0.6738304725481039
LQ,1.0,2,0.6871879226401196
LQ,1.0,3,0.7394588795783215
LQ,1.0,4,0.6440130838495686
LQ,1.5,1,0.6747095166662428
LQ,1.5,2,0.6897405975869291
LQ,1.5,3,0.7426535680497365
LQ,1.5,4,0.6456117073716207
LQ,2.0,1,0.6748547081517324
LQ,2.0,2,0.6873925098787504
LQ,2.0,3,0.7398449114745236
LQ,2.0,4,0.650835085309247
LQ,3.0,1,0.6752960367408056
LQ,3.0,2,0.6886300607313527
LQ,3.0,3,0.7397131369103933
LQ,3.0,4,0.6555367293359052
LQ,5.0,1,0.6754475176270492
LQ,5.0,2,0.6894953435860925
LQ,5.0,3,0.7401405595350723
LQ,5.0,4,0.6529873808538595
LQH,0.5,1,0.6159982282624259
LQH,0.5,2,0.6444974319357477
LQH,0.5,3,0.7256039667522637
LQH,0.5,4,0.6128033668339916
LQH,1.0,1,0.6144424713865719
LQH,1.0,2,0.6456338729617701
LQH,1.0,3,0.7258396404919585
LQH,1.0,4,0.6135428239188917
LQH,1.5,1,0.6137522431080881
LQH,1.5,2,0.6458441702594776
LQH,1.5,3,0.726142890931207
LQH,1.5,4,0.6140134880866288
LQH,2.0,1,0.6137851620992681
LQH,2.0,2,0.6461774427319373
LQH,2.0,3,0.7260694012704418
LQH,2.0,4,0.614279691075427
LQH,3.0,1,0.6140970896132554
LQH,3.0,2,0.6464965096915718
LQH,3.0,3,0.726546661711042
LQH,3.0,4,0.6145513081858317
LQH,5.0,1,0.614085982799158
LQH,5.0,2,0.6466189277873897
LQH,5.0,3,0.7259773280172995
LQH,5.0,4,0.6146026772675168
LQHP,0.5,1,0.6835213016650854
LQHP,0.5,2,0.6760609672756515
LQHP,0.5,3,0.7171087309095825
LQHP,0.5,4,0.6346550739911299
LQHP,1.0,1,0.6824272804764957
LQHP,1.0,2,0.6763410387098833
LQHP,1.0,3,0.7182980808217327
LQHP,1.0,4,0.6354898508516218
LQHP,1.5,1,0.6821935690208206
LQHP,1.5,2,0.6765719479281607
LQHP,1.5,3,0.7188986687390188
LQHP,1.5,4,0.635857100090788
LQHP,2.0,1,0.6820494480716296
LQHP,2.0,2,0.6769510401429688
LQHP,2.0,3,0.719694384376267
LQHP,2.0,4,0.6364365542645565
LQHP,3.0,1,0.6816757639949204
LQHP,3.0,2,0.6771261021980803
LQHP,3.0,3,0.7195440262197594
LQHP,3.0,4,0.6368283362422523
LQHP,5.0,1,0.6815386684401885
LQHP,5.0,2,0.6772033969002178
LQHP,5.0,3,0.7193928233545075
LQHP,5.0,4,0.6369992454848894
